الولاية,المنطقة,سكني,تجاري,صناعي,زراعي
السيب,Maabelah North,60-100,181-300,-,30-55
السيب,Maabelah South,70-105,180-360,170-300,-
السيب,Al Khoudh (Old),70-85,-,-,40-50
السيب,Al Khoudh (New),115-150,200-500,-,-
السيب,Al Hail North,100-130,250-480,-,50-75
السيب,Al Hail South,130-155,300-530,-,-
السيب,Mawaleh North,140-175,300-550,-,-
السيب,Mawaleh South,125-175,250-430,-,-
السيب,Sur Al Hadid,80-150,200-330,-,65-80
السيب,Rusail,50-55,-,-,-
السيب,Sharadi,65-75,-,-,-
السيب,Manomah,45-65,-,-,-
السيب,Jefnain,42-57,-,-,-
السيب,Wadi Allawami,85-110,-,-,-
السيب,Halban (Al Seeb),45-58,-,-,-
السيب,Hilat Al Nasir,80-90,-,-,-
بوشر,Al Ansab,145-200,350-550,-,-
بوشر,Awabi,49-105,-,-,-
بوشر,Al Azaiba,210-300,440-850,-,-
بوشر,Al Ghubra,175-290,350-700,-,-
بوشر,Ghala,120-200,200-500,-,-
بوشر,Al Fath,165-235,350-550,-,-
بوشر,Falaj Al Sham,100-130,135-235,-,-
بوشر,Misfah,50-100,135-230,-,-
بوشر,Al Khuwair,165-300,350-650,-,-
بوشر,Al Hamam,75-85,-,-,-
بوشر,Hay Al Muna,230-250,350-550,-,-
بوشر,Sarooj,350-450,600-1000,-,-
بوشر,Al Qurm,230-400,360-700,-,-
بوشر,Madinat Sultan Qaboos,180-300,330-580,-,-
بوشر,Ruwi,150-270,70-350,-,-
